"Term","WordNet Category","Synset Definition","Frequency","Synset Example"
"carboxylate","change","treat (a chemical compound) with carboxyl or carboxylic acid","1","treat (a chemical compound) with carboxyl or carboxylic acid"
"carburise","change","unite with carbon","1"," ""carburize metal"""
"carburize","change","unite with carbon","1"," ""carburize metal"""
"carmine","change","color carmine","1","color carmine"
"carnalise","change","debase through carnal gratification","1","debase through carnal gratification"
"carnalize","change","debase through carnal gratification","1","debase through carnal gratification"
"carnify","change","become muscular or fleshy","1","become muscular or fleshy"
"carry","change","continue or extend","18"," ""The civil war carried into the neighboring province""; ""The disease extended into the remote mountain provinces"""
"carry_off","change","kill in large numbers","1"," ""the plague wiped out an entire population"""
"carry_out","change","pursue to a conclusion or bring to a successful issue","3"," ""Did he go through with the treatment?""; ""He implemented a new economic plan""; ""She followed up his recommendations with a written proposal"""
"carry_over","change","transfer or persist from one stage or sphere of activity to another","3","transfer or persist from one stage or sphere of activity to another"
"carve_out","change","remove from a larger whole","1"," ""the new start-up company carved out a large chunk of the market within a year"""
"caseate","change","turn into cheese","1"," ""The milk caseated"""
"cash_in_one's_chips","change","pass from physical life and lose all bodily attributes and functions necessary to sustain life","1"," ""She died from cancer""; ""The children perished in the fire""; ""The patient went peacefully""; ""The old guy kicked the bucket at the age of 102"""
"castrate","change","deprive of strength or vigor","1"," ""The Senate emasculated the law"""
"catabolise","change","subject to catabolism","1","subject to catabolism"
"catabolize","change","subject to catabolism","1","subject to catabolism"
"catalyse","change","change by catalysis or cause to catalyze","1","change by catalysis or cause to catalyze"
"catalyze","change","change by catalysis or cause to catalyze","1","change by catalysis or cause to catalyze"
"catch","change","be struck or affected by","20"," ""catch fire""; ""catch the mood"""
"catch_on","change","become popular","3"," ""This fashion caught on in Paris"""
"catheterise","change","insert a catheter into (a body part)","1"," ""catheterize the patient's bladder"""
"catheterize","change","insert a catheter into (a body part)","1"," ""catheterize the patient's bladder"""
"catholicise","change","cause to adopt Catholicism","1","cause to adopt Catholicism"
"catholicize","change","cause to adopt Catholicism","1","cause to adopt Catholicism"
"cauterise","change","burn, sear, or freeze (tissue) using a hot iron or electric current or a caustic agent","1"," ""The surgeon cauterized the wart"""
"cauterize","change","burn, sear, or freeze (tissue) using a hot iron or electric current or a caustic agent","1"," ""The surgeon cauterized the wart"""
"centralise","change","make central","1"," ""The Russian government centralized the distribution of food"""
"centralize","change","make central","2"," ""The Russian government centralized the distribution of food"""
"chafe","change","warm by rubbing, as with the hands","2","warm by rubbing, as with the hands"
"change","change","cause to change","9"," make different; cause a transformation; ""The advent of the automobile may have altered the growth pattern of the city""; ""The discussion has changed my thinking about the issue"""
"change_by_reversal","change","change to the contrary","1"," ""The trend was reversed""; ""the tides turned against him""; ""public opinion turned when it was revealed that the president had an affair with a White House intern"""
"change_form","change","assume a different shape or form","1","assume a different shape or form"
"change_integrity","change","change in physical make-up","1","change in physical make-up"
"change_magnitude","change","change in size or magnitude","1","change in size or magnitude"
"change_over","change","make a shift in or exchange of","2"," ""First Joe led; then we switched"""
"change_shape","change","assume a different shape or form","1","assume a different shape or form"
"change_state","change","undergo a transformation or a change of position or action","1"," ""We turned from Socialism to Capitalism""; ""The people turned against the President when he stole the election"""
"change_surface","change","undergo or cause to undergo a change in the surface","1","undergo or cause to undergo a change in the surface"
"channel-surf","change","switch channels, on television","1","switch channels, on television"
"chap","change","crack due to dehydration","1"," ""My lips chap in this dry weather"""
"char","change","burn slightly and superficially so as to affect color","1"," ""The cook blackened the chicken breast""; ""The fire charred the ceiling above the mantelpiece""; ""the flames scorched the ceiling"""
"charge","change","cause formation of a net electrical charge in or on","10"," ""charge a conductor"""
"chasten","change","restrain","1","restrain"
"cheapen","change","lower the grade of something","1"," reduce its worth"
"check","change","slow the growth or development of","8"," ""The brain damage will retard the child's language development"""
"checker","change","variegate with different colors, shades, or patterns","1","variegate with different colors, shades, or patterns"
"chequer","change","variegate with different colors, shades, or patterns","1","variegate with different colors, shades, or patterns"
"child-proof","change","make safe against children","1"," ""childproof the apartment"""
"childproof","change","make safe against children","1"," ""childproof the apartment"""
"chill","change","make cool or cooler","3"," ""Chill the food"""
"chink","change","make cracks or chinks in","1"," ""The heat checked the paint"""
"chip_away","change","remove or withdraw gradually: ""These new customs are chipping away at the quality of life""","1","remove or withdraw gradually: ""These new customs are chipping away at the quality of life"""
"chip_away_at","change","remove or withdraw gradually: ""These new customs are chipping away at the quality of life""","1","remove or withdraw gradually: ""These new customs are chipping away at the quality of life"""
"chlorinate","change","treat or combine with chlorine","1"," ""chlorinated water"""
"choke","change","become stultified, suppressed, or stifled","6"," ""He is suffocating--living at home with his aged parents in the small village"""
"choke_back","change","suppress","1"," ""He choked down his rage"""
"choke_down","change","suppress","1"," ""He choked down his rage"""
"choke_off","change","suppress","3"," ""He choked down his rage"""
"chondrify","change","turn into cartilage","1"," ""The tissue chondrifies"""
