"Term","WordNet Category","Synset Definition","Frequency","Synset Example"
"amphibious_operation","act","a military operation by both land and sea forces","1","a military operation by both land and sea forces"
"amplification","act","addition of extra material or illustration or clarifying detail","2"," ""a few remarks added in amplification and defense""; ""an elaboration of the sketch followed"""
"amputation","act","a surgical removal of all or part of a limb","1","a surgical removal of all or part of a limb"
"amusement","act","an activity that is diverting and that holds the attention","3","an activity that is diverting and that holds the attention"
"amygdalotomy","act","psychosurgery in which amygdaloid fibers that mediate limbic system activity are severed (in cases of extreme uncontrollable violence)","1","psychosurgery in which amygdaloid fibers that mediate limbic system activity are severed (in cases of extreme uncontrollable violence)"
"anaerobic_exercise","act","exercise that builds muscles through tension","1","exercise that builds muscles through tension"
"anagrams","act","a game whose object is to form words from a group of randomly chosen letters","1","a game whose object is to form words from a group of randomly chosen letters"
"anal_intercourse","act","intercourse via the anus, committed by a man with a man or woman","1","intercourse via the anus, committed by a man with a man or woman"
"anal_sex","act","intercourse via the anus, committed by a man with a man or woman","1","intercourse via the anus, committed by a man with a man or woman"
"analogy","act","drawing a comparison in order to show a similarity in some respect","3"," ""the operation of a computer presents and interesting analogy to the working of the brain""; ""the models show by analogy how matter is built up"""
"analysis","act","an investigation of the component parts of a whole and their relations in making up the whole","4","an investigation of the component parts of a whole and their relations in making up the whole"
"anamnestic_reaction","act","renewed rapid production of an antibody on the second (or subsequent) encounter with the same antigen","1","renewed rapid production of an antibody on the second (or subsequent) encounter with the same antigen"
"anamnestic_response","act","renewed rapid production of an antibody on the second (or subsequent) encounter with the same antigen","1","renewed rapid production of an antibody on the second (or subsequent) encounter with the same antigen"
"anaplasty","act","surgery concerned with therapeutic or cosmetic reformation of tissue","1","surgery concerned with therapeutic or cosmetic reformation of tissue"
"anastylosis","act","the archeological reassembly of ruined monuments from fallen or decayed fragments (incorporating new materials when necessary)","1","the archeological reassembly of ruined monuments from fallen or decayed fragments (incorporating new materials when necessary)"
"anathematisation","act","the formal act of pronouncing (someone or something) accursed","1","the formal act of pronouncing (someone or something) accursed"
"anathematization","act","the formal act of pronouncing (someone or something) accursed","1","the formal act of pronouncing (someone or something) accursed"
"anatomy","act","a detailed analysis","4"," ""he studied the anatomy of crimes"""
"ancestor_worship","act","worship of ancestors","1","worship of ancestors"
"anchorage","act","the act of anchoring","1","the act of anchoring"
"anemography","act","recording anemometrical measurements","1","recording anemometrical measurements"
