FrameNet frame,Definition
Cause_to_start,"A Cause, animate or inanimate, causes a process, the Effect, to begin. 'The murder of Sergei Kirov set off a chain of events that culminated in the Great Terror of the 1930s.' 'Space email sparked ast..."
Cause_to_wake,An Agent or Cause causes a Sleeper to transition from the Sleep_state to wakeful consciousness. 'The earthquake woke me from a nightmare.'
Ceasing_to_be,"An Entity ceases to exist. 'Entire platoons have mysteriously vanished from battle, leaving enemy weapons to slice through empty air.'"
Certainty,This frame concerns a Cognizer's certainty about the correctness of beliefs or expectations. It only includes uses where a Cognizer is expressed. 'Lermontov was certain he would come to the party.'
Change_accessibility,"An Agent causes a Useful_location to become accessible (or non-accessible) to a Theme to a certain Degree. Instead of the Useful_location, the scene may be described with reference to a Portal (or par..."
Change_direction,"A Theme that is in motion assumes a new Direction in which it moves. 'We took our chances and turned right by a petrol station and, bingo, there she was--Fir Park.' 'Molly followed silently as Desmond..."
Change_event_duration,"In this frame, an Agent or Cause changes the duration of an Event. The Event will then take place for a New_duration, rather than the Initial_duration. This can be done with by certain Means, in a cer..."
Change_event_time,"In this frame, an Agent or Cause changes the timing of an Event. The Event will then take place at the Destination_time or with respect to a Destination_event. This can be done with by certain Means, ..."
Change_of_consistency,In this frame a Patient changes its consistency. There may be a Initial_state and a Result. Note that this frame contrasts with Change_of_phase in that this frame describes a change in a Patient withi...
Change_of_leadership,"This frame concerns the appointment of a New_leader or removal from office of an Old_leader. The Selector brings about the change in leadership, for example, by electing or overthrowing a leader. Some..."
Change_of_phase,In this frame a Patient undergoes a change of phase. Note that this frame contrasts with Change_of_consistency in that this frame describes a change of a Patient between different phases (i.e. solid t...
Change_of_quantity_of_possession,This frame describes a general situation in which an Owner either increases or decreases their amount of a Possession. The increase or decrease may either be physical or metaphorical. 'The plant lost ...
Change_of_temperature,"In this frame, the temperature of an Item changes. An Initial_temperature, Final_temperature, or Temperature_change can also be indicated. 'The house had cooled off by a few more degrees by midnight, ..."
Change_operational_state,A Device or machine is put in (or out of) service either by a volitional Agent or by a Cause event or force acting on the Device. The Time when and the Place where the Device is put in or out of use m...
Change_position_on_a_scale,This frame consists of words that indicate the change of an Item's position on a scale (the Attribute) from a starting point (Initial_value) to an end point (Final_value). The direction (Path) of the ...
Change_post-state,The frame represents the result state of the Entity after event represented by the Undergo_change frame. The intial states of the Undergo_change frame Initial_quality and Initial_situation are also FE...
Change_posture,A Protagonist changes the overall position and posture of the body. 'Smithers leaned forward to grab the folder on the far side.'
Change_resistance,"An Agent changes a Patient's ability to resist literal or figurative attack. This frame differs from Cause_change_of_strength only in that the Patient is restricted to acting as a defensive force, i.e..."
Change_tool,"An Agent changes Tools, from the Old_tool to a New_tool. The Tools may include vehicles, services providers, or more proto-typical implements. 'If this happens one more time, we 're going to switch op..."
Chaos,"The lexical units in this frame have to do with an Entity being in a State of order or disorder. Often the Entity is unexpressed in this frame and is, therefore, marked as a null instantiation. '' 'So..."
Chatting,"A group of people (the Interlocutors or Interlocutor_1 and Interlocutor_2 together) have a conversation. No person is construed as only a speaker or only an addressee. Rather, it is understood that bo..."
Chemical-sense_description,"This frame covers the descriptions of tastes and smells, and has one main frame element, Source. The frame element Sensory_attribute occurs mainly with the words taste, flavour, and smell. 'The almond..."
Chemical_potency,This frame contains words that describe how potent a chemical is.
